"<ID>";"N1 V Loc N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N0 V N0pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"Loc N2 =: de N2 source";"Loc N2 =: de N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"N2 =: Nhum";"de combien ?";"N1 V N2";"il y avoir V-n entre N1 et N2";"V-n attache";"N0 V N1 de N3 attache";"N0 V N1";"N3 attache V N1";"V-n résultat";"N0 V N résultat";"N0 V N1 + 2";"N0 V N2 (E+de N1)";"Loc N2 =: à Nhum";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"V-n résultat (forme V-n)";"V-n attache (forme V-n)";"<OPT>"
"92";"-";"-";"<E>";"scotcher";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"scotch";"Max a scotché la photo(au+sur)le carton"
"93";"-";"-";"<E>";"séparer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"<E>";"séparation";"<E>";"<E>";"Max a séparé les pions noirs(de+et)les pions blancs"
"94";"-";"-";"<E>";"sertir";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a serti les deux pièces métalliques"
"95";"-";"-";"<E>";"souder";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"soudure";"soudure";"Max a soudé ce fil(à+avec+et)celui-là";
"96";"~";"~";"<E>";"souder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"La menace a soudé les soldats autour de leur chef"
"97";"-";"-";"<E>";"superposer";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"<E>";"<E>";"superposition";"<E>";"Max a superposé quelques livres sur la pile branlante"
"98";"-";"-";"<E>";"surjeter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Ida a surjeté ce panneau de la jupe avec celui-là"
"99";"-";"-";"<E>";"suturer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"suture";"suture";"<E>";"Max a suturé les lèvres de la plaie"
"100";"+";"-";"<E>";"taper";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max tape un verre contre la carafe"
"101";"+";"-";"<E>";"tenir";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max tient le carton contre la caisse avec une ficelle"
"102";"~";"~";"<E>";"thermocoller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Paul a thermocollé les pages ensemble"
"103";"-";"-";"<E>";"tisser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Ida tisse le lin(avec+et)la soie"
"104";"-";"-";"<E>";"torsader";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"torsade";"<E>";"Max torsade les brins de cuivre"
"105";"-";"-";"<E>";"tresser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"tresse";"<E>";"Max a tressé le chanvre(et+avec+sur)le lin"
"106";"-";"-";"<E>";"visser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"vis";"Max a vissé la planche(et+avec+contre)le pilier"

