"<ID>";"N0 lieu de destination de N1";"N2 V N1";"N2 destination V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 sur N1pc";"N1 =: N-hum";"N1 être V-n";"N0 V N2";"N0 V N1 Loc N2 source Loc N3 destination";"N0 V N1 en N2";"N0 V N1 de N2 source";"N0 V N1 Loc N2 source, Loc # de";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"N3 être V-n";"N3 =: Npl obl";"Ppv =: y";"Ppv =: en";"N0 lui V N1 Loc N3pc";"N1 être Vpp W";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1hum Loc (N2abs+N3abs)";"N0 V N1abs Loc (N2abs+N3abs)";"N1 être V-n (forme V-n)";"N3 être V-n (forme V-n)";"<OPT>"
"95";"-";"-";"-";"<E>";"-";"mélanger";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a mélangé les(étiquettes+cartes)"
"96";"~";"~";"~";"<E>";"-";"mêler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a mêlé toutes les étiquettes"
"97";"-";"-";"-";"<E>";"-";"multiplier";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max multiplie les erreurs"
"98";"-";"-";"-";"<E>";"-";"natter";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"natte";"Ida natte ses cheveux en une longue natte"
"99";"-";"-";"-";"<E>";"-";"niveler";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"La mort nivelle les classes sociales"
"100";"~";"~";"~";"<E>";"-";"nombrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";" Nombrer les participants"
"101";"-";"-";"-";"<E>";"-";"nomenclaturer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"<E>";"nomenclature";"Max a nomenclaturé les rubriques"
"102";"-";"-";"-";"<E>";"-";"nuancer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"<E>";"Max a nuancé les bleus dans son tableau"
"103";"-";"-";"-";"<E>";"-";"ordonner";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"<E>";"ordre";"Max a ordonné les différentes parties de son discours"
"104";"-";"-";"-";"<E>";"-";"organiser";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a organisé les activités de son groupe"
"105";"-";"-";"-";"<E>";"-";"parcourir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Flo a parcouru toutes les solutions"
"106";"~";"~";"~";"<E>";"-";"partager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette question partage les experts"
"107";"-";"-";"-";"<E>";"-";"plier";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max plie (ses affaires+son éventaire)dans le car"
"108";"~";"~";"~";"<E>";"-";"propager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On propage les animaux utiles"
"109";"~";"~";"~";"<E>";"-";"rafler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul rafle tous les prix"
"110";"-";"-";"-";"<E>";"-";"rallier";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Cette cause rallie les mécontents"
"111";"~";"~";"~";"<E>";"-";"ramasser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont ramassé les clochards dans le métro"
"112";"~";"~";"~";"<E>";"-";"ramasser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ramassé ses livres en un un gros amas"
"113";"-";"-";"-";"<E>";"-";"rameuter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"meute";"Max a rameuté les badauds autour de son stand"
"114";"-";"-";"-";"<E>";"-";"ranger";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"rangement";"Max range les papiers en pile"
"115";"+";"+";"+";"<E>";"-";"rassembler";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"Max a rassemblé ces articles(dans+en)un ouvrage"
"116";"-";"-";"-";"<E>";"-";"récapituler";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"<E>";"récapitulatif";"Max a récapitulé les arguments dans un tableau"
"117";"-";"-";"-";"<E>";"-";"recenser";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"On a recensé deux Max(à l'étage+dans la liste)"
"118";"-";"-";"+";"<E>";"-";"recueillir";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max recueille des(fonds+signatures)chez les cadres"
"119";"-";"-";"-";"<E>";"-";"redoubler";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a redoublé ses attaques"
"120";"-";"+";"+";"<E>";"-";"regrouper";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"groupe";"On a regroupé les services dans cet immeuble"
"121";"-";"-";"-";"<E>";"-";"remembrer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Le plan a remembré les parcelles"
"122";"~";"~";"~";"<E>";"-";"réorganiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a réorganisé (la bibliothèque+son service)"
"123";"-";"-";"-";"<E>";"-";"répertorier";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"<E>";"répertoire";"Max a répertorié les différents numéros"
"124";"~";"~";"~";"<E>";"-";"resserrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a resserré ses commentaires en une page"
"125";"~";"~";"~";"<E>";"-";"retourner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le voleur a retourné l'appartement"
"126";"-";"-";"-";"<E>";"-";"retourner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max retourne les patates"
"127";"-";"-";"+";"<E>";"-";"réunir";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"Cette voiture réunit toutes les conditions"
"128";"-";"-";"-";"<E>";"-";"réunir";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a réuni les invités dans le salon"
"129";"-";"+";"+";"<E>";"-";"réunir";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a réuni les renseignements nécessaires"
"130";"-";"-";"-";"<E>";"-";"sérier";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"série";"Max a sérié les(questions+problèmes)"
"131";"-";"-";"-";"<E>";"-";"serrer";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max serre les épis dans une botte compacte"
"132";"-";"-";"-";"<E>";"-";"thésauriser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"<E>";"thésaurus";"Max thésaurise les pièces d'or"
"133";"-";"+";"-";"<E>";"-";"totaliser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"total";"Max totalise les chiffres"
"134";"-";"-";"-";"<E>";"-";"transposer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"transposition";"Max a transposé les mots dans sa phrase"
"135";"~";"~";"~";"<E>";"-";"trier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida trie le fichier"
"136";"-";"-";"+";"<E>";"-";"truster";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max truste les prix d'excellence"
"137";"-";"-";"-";"<E>";"-";"unifier";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Ce traité a unifié les provinces en un seul pays"
"138";"~";"~";"~";"<E>";"-";"user";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a usé trois(femmes+voitures)"
"139";"~";"~";"~";"<E>";"-";"varier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max varie les activités"

