"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 être V-ant pour N1";"N1 se V de ce Qu P";"N1 être Vpp de ce Qu P";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 V à N2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: V1-inf W";"N2 =: V1c-inf W";"Tc =: passé";"Tc =: futur";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"à N2 = là";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"N2 =: le fait Qu P";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp par N0 à ce Qu P";"N1 être Vpp de N0 à ce Qu P";"<OPT>";"<ENGLISH>"
"84";"+";"-";"-";"-";"-";"<E>";"-";"cueillir";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a cueilli les voleurs à fracturer la porte";"to catch"
"85";"+";"+";"+";"+";"-";"<E>";"-";"décider";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a décidé Ida à ce que elle aille voir Luc";"to persuade"
"86";"+";"+";"+";"-";"+";"<E>";"-";"délimiter";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max délimite son ambition à ce que tout soit en ordre";"to determine"
"87";"+";"-";"-";"-";"-";"<E>";"-";"dépenser";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max dépense son énergie à ce que tout soit en ordre";"to expend"
"88";"+";"-";"-";"-";"-";"<E>";"-";"déployer";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max déploie ses efforts à ce que tout soit en ordre";"to expend"
"89";"+";"+";"+";"+";"+";"<E>";"-";"destiner";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"Max destine à ce qu'elle entre au couvent";"to destine"
"90";"+";"+";"+";"+";"-";"<E>";"-";"déterminer";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Qu'Ida vienne détermine Luc à ce qu'il mette tout en ordre";"to decide"
"91";"~";"~";"~";"~";"~";"<E>";"-";"dévouer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a dévoué sa vie à soigner les bêtes";"to devote"
"92";"+";"+";"+";"+";"-";"<E>";"-";"disposer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"(Max+cette mesure) dispose Luc à(ce qu'il accepte+accepter)le contrat";"to incline"
"93";"+";"+";"+";"+";"-";"<E>";"-";"dompter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a dompté Luc à ce qu'il remette tout en ordre";"to overcome"
"94";"~";"~";"~";"~";"~";"<E>";"-";"donner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max donne (son accord + de l'importance) à ce que Max nettoie tout";"?"
"95";"+";"+";"+";"+";"-";"<E>";"-";"dresser";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a dressé Luc à ce qu'il se lève tôt";"to knock"
"96";"+";"+";"+";"+";"-";"<E>";"-";"éduquer";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a éduqué Médor à sauter sur les passants";"to educate"
"97";"+";"+";"+";"-";"-";"<E>";"-";"élargir";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ce trust a élargi ses activités à la fabrique des voitures";"to widen"
"98";"+";"+";"+";"+";"-";"<E>";"-";"électriser";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"La pénurie a électrisé Luc à trouver du travail";"to boost"
"99";"+";"-";"-";"-";"-";"<E>";"-";"élever";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max élève ses enfants à respecter autrui";"to raise"
"100";"+";"+";"+";"+";"-";"<E>";"-";"embarquer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a embarqué Luc à ce qu'il achète un bateau";"to involve"
"101";"+";"+";"+";"+";"-";"<E>";"-";"embringuer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Luc a embringué Max dans une sale histoire";"to involve"
"102";"+";"+";"+";"+";"-";"<E>";"-";"employer";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max emploie Luc à poinçonner des tickets";"to employ"
"103";"-";"+";"+";"+";"-";"<E>";"-";"emporter";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ceci emporte Luc à faire des bêtises";"to carry away"
"104";"+";"+";"+";"+";"-";"<E>";"-";"encourager";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max encourage Léa à ce que son fils persévère";"to encourage"
"105";"+";"+";"+";"+";"-";"<E>";"-";"endoctriner";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"On a endoctriné Max à croire la télé";"to indoctrinate"
"106";"+";"+";"+";"+";"-";"<E>";"-";"endurcir";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Une longue pratique a endurci Max à supporter Eva";"to harden"
"107";"+";"+";"+";"-";"-";"<E>";"-";"engager";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max engage Luc à fuir";"to bind"
"108";"+";"+";"+";"+";"-";"<E>";"-";"engager";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max engagea (sa parole+son honneur)à ce que Léa parte";"to urge"
"109";"~";"~";"~";"~";"~";"<E>";"-";"engager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette clause vous engage à payer";"?"
"110";"+";"+";"+";"+";"-";"<E>";"-";"enhardir";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"ceci a enhardi Max à demander une augmentation";"to make bolder"
"111";"-";"+";"+";"+";"-";"<E>";"-";"entêter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Le désespoir l'avait entêté à jouer tout son argent";"to go to one's head"
"112";"+";"-";"-";"-";"-";"<E>";"-";"entraîner";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max entraîne Ida à faire des bêtises";"to lead"
"113";"+";"+";"+";"+";"-";"<E>";"-";"entraîner";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max entraîne son cheval à courir le mille";"to train"
"114";"+";"-";"-";"-";"-";"<E>";"-";"épingler";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"On a épinglé Max à voler un pain";"to nab"
"115";"+";"-";"-";"-";"-";"<E>";"-";"épuiser";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Léa épuise ses forces à laver les vitres";"to exhaust"
"116";"+";"+";"+";"+";"-";"<E>";"-";"éreinter";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Jo a éreinté Ida à lui faire laver les vitres";"to shatter"
"117";"~";"~";"~";"~";"~";"<E>";"-";"esquinter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a esquinté sa santé à boire";"?"
"118";"+";"+";"+";"-";"+";"<E>";"-";"étendre";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"L'assemblé a étendu les pouvoirs de Max à collecter les impôts";"to extend"
"119";"+";"+";"+";"-";"-";"<E>";"-";"être";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max est le seul homme à avoir fait cela";"to be"
"120";"+";"+";"+";"+";"-";"<E>";"-";"éveiller";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ceci a éveillé Ida à sentir la musique";"to stimulate"
"121";"+";"+";"+";"+";"-";"<E>";"-";"exciter";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a excité la foule à lyncher les affameurs";"to exhort to"
"122";"+";"+";"+";"+";"-";"<E>";"-";"exercer";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max exerce Médor à aboyer la nuit";"to train"
"123";"+";"-";"-";"-";"-";"<E>";"-";"exhorter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"(Ceci+Max) exhorte Léa à(ce que tout soit en ordre+la patience)";"to exhort to"
"124";"+";"+";"+";"+";"+";"<E>";"-";"exposer";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"Ceci expose Max à ce que Léa vienne";"to expose"
"125";"+";"+";"+";"+";"-";"<E>";"-";"façonner";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Son éducation a façonné Ida à accepter de telles choses";"to shape"
"126";"+";"+";"+";"+";"-";"<E>";"-";"familiariser";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a familiarisé Ida à conduire la voiture";"to familiarize"
"127";"+";"+";"+";"+";"-";"<E>";"-";"fanatiser";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a fanatisé la foule à descendre dans la rue";"to fanaticize"
"128";"+";"+";"+";"-";"+";"<E>";"-";"fermer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Cette expérience a fermé Max à(comprendre la musique+toute innovation)";"to close"
"129";"+";"+";"+";"-";"-";"<E>";"-";"fixer";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"Max fixe son(esprit+attention)à ce que tout soit en ordre";"to fix"
"130";"-";"+";"+";"+";"-";"<E>";"-";"fonder";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Ceci fonde Max à croire cette histoire";"to justify"
"131";"+";"+";"+";"+";"-";"<E>";"-";"forcer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max force Ida à ce que tout soit en ordre";"to force"
"132";"+";"+";"+";"+";"-";"<E>";"-";"former";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"On a formé Ida à ce que tout soit en ordre";"to train"
"133";"+";"+";"+";"+";"-";"<E>";"-";"fourvoyer";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Que Luc ait eu l'air honnête a fourvoyé Max à accepter son offre";"to mislead"
"134";"+";"+";"+";"-";"-";"<E>";"-";"gâcher";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max gâche son talent à vendre des cravates";"to waste"
"135";"+";"-";"-";"-";"-";"<E>";"-";"gaspiller";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max gaspille son talent à laver la vaisselle";"to waste"
"136";"~";"~";"~";"~";"~";"<E>";"-";"gâter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max gâte son talent à laver la vaisselle";"?"
"137";"+";"-";"-";"-";"-";"<E>";"-";"gauler";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Les flics ont gaulé Max à voler des bijoux";"to nab"
"138";"+";"+";"+";"-";"-";"<E>";"-";"généraliser";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"On a généralisé ce concept à couvrir ce phénomène";"to generalize"
"139";"+";"+";"+";"+";"-";"<E>";"-";"habiliter";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Le chef a habilité Max à signer ces contrats";"to authorize"
"140";"+";"+";"+";"+";"+";"<E>";"-";"habituer";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"Cela habitue Max à(ce qu'il arrive+arriver)à l'heure";"to accustom"
"141";"+";"-";"-";"-";"-";"<E>";"-";"harponner";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Les flics ont harponné Max à voler une banque";"to nab"
"142";"+";"-";"-";"-";"-";"<E>";"-";"hasarder";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max hasarde sa réputation à prendre cette décision";"to risk"
"143";"+";"+";"+";"+";"-";"<E>";"-";"hausser";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max hausse ses prétentions à vouloir être ministre";"ro raise"
"144";"+";"-";"-";"-";"-";"<E>";"-";"immoler";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"Max a immolé ses ambitions à servir le peuple";"to sacrifice"
"145";"+";"+";"+";"+";"-";"<E>";"-";"inciter";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"(Max+Ceci) incite Zoé à ce que tout soit en ordre";"to incite"
"146";"+";"+";"+";"+";"-";"<E>";"-";"incliner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Son tempérament incline Max à travailler";"to encourage"
"147";"+";"+";"+";"+";"-";"<E>";"-";"induire";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"L'attitude de Léa induit Max à penser que Luc est parti";"to lead"
"148";"+";"+";"+";"+";"+";"<E>";"-";"inféoder";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"La politique des USA inféode la politique des autres pays";"to enfeoff"
"149";"+";"+";"+";"+";"-";"<E>";"-";"initier";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a initié Ida à apprécier la musique";"to initiate"
"150";"+";"+";"+";"+";"+";"<E>";"-";"insensibiliser";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"La vie a insensibilisé Max à ce que Léa fugue souvent";"to anaesthetize"
"151";"~";"~";"~";"~";"~";"<E>";"-";"installer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max installe Luc à travailler";"?"
"152";"+";"+";"+";"+";"-";"<E>";"-";"instiguer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Luc a instigué Max à venir";"to instigate"
"153";"+";"+";"+";"+";"-";"<E>";"-";"instruire";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a instruit Luc à édifier des maisons";"to educate"
"154";"+";"+";"+";"+";"+";"<E>";"-";"intéresser";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"Max a intéressé Ida à étudier la Géo";"to interest"
"155";"+";"+";"+";"+";"-";"<E>";"-";"introduire";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ce texte a introduit Léa à comprendre les maths";"to initiate"
"156";"+";"-";"-";"-";"-";"<E>";"-";"inviter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"(Luc+Ceci) invite Léa à réfléchir";"to invite"
"157";"+";"+";"+";"+";"-";"<E>";"-";"inviter";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max invite Léa à ce qu'elle vienne demain";"to invite"
"158";"-";"+";"+";"+";"-";"<E>";"-";"justifier";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"Cette affaire justifie Paul à prendre cette décision";"to justify"
"159";"~";"~";"~";"~";"~";"<E>";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a laissé sa santé à travailler à la mine";"?"
"160";"+";"+";"+";"+";"-";"<E>";"-";"légitimer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Ceci légitime Max à prendre cette décision";"to legitimate"
"161";"+";"+";"+";"+";"+";"<E>";"-";"limiter";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max limite ses ambitions à bien dormir";"to limit"
"162";"-";"+";"+";"+";"-";"<E>";"-";"mener";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Cette situation mènera Max à ce qu'il se suicide";"to lead"
"163";"+";"+";"+";"+";"-";"<E>";"-";"motiver";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Ceci a motivé Max à(ce qu'il prenne+prendre)cette décision";"to justify"
"164";"+";"+";"+";"+";"-";"<E>";"-";"mouiller";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a mouillé sa réputation à commettre des vols";"to compromise"
"165";"+";"+";"+";"+";"-";"<E>";"-";"obliger";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Léa oblige Luc à ce que Max l'accompagne";"to force"
"166";"+";"+";"+";"+";"-";"<E>";"-";"occuper";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Luc occupe Max à tout mettre en ordre";"to employ"
"167";"+";"+";"+";"+";"-";"<E>";"-";"orienter";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max a orienté Luc à faire de la voile";"to direct"
"168";"+";"+";"+";"-";"+";"<E>";"-";"ouvrir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Ceci a ouvert Léa à comprendre l'art";"to open one's mind"
"169";"+";"+";"+";"+";"-";"<E>";"-";"patenter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"On a patenté Max à vendre des alcools";"to impose"
