"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V1c-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"Prép1";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1 =: à Nq";"Prép N1 =: dans Nq";"Prép N1 =: de Nq";"Prép N1 = Ppv";"il V Prép N1 N0 =: il V Prép N1 Qu Pind";"il V Prép N1 N0 =: il V Prép N1 Qu Psubj";"il V Prép N1 N0 =: il V Prép N1 de V1-inf W";"il V Prép N1 N0 =: il V Prép N1 de V1c-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 V de ce Qu Pind";"<OPT>"
"105";"-";"+";"-";"-";"<E>";"-";"-";"-";"prédominer";"-";"+";"-";"+";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Il prédomine dans ce rapport que la situation est grave"
"106";"-";"-";"-";"-";"se";"+";"-";"-";"présenter Advm";"-";"-";"+";"-";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"L'affaire se présente mal pour Max"
"107";"-";"+";"+";"-";"<E>";"-";"-";"-";"presser";"-";"+";"+";"+";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Qu'il sorte presse pour Max"
"108";"-";"+";"-";"-";"<E>";"-";"-";"-";"prévaloir";"-";"+";"-";"+";"sur";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Cette décision a prévalu sur ce que Léa vienne"
"109";"-";"+";"-";"-";"<E>";"-";"-";"-";"primer";"-";"+";"-";"+";"sur";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que tu réussisses tes examens prime sur ton plaisir"
"110";"-";"+";"+";"-";"<E>";"-";"-";"-";"profiter";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Que Léa revienne profite à Luc"
"111";"-";"-";"-";"-";"<E>";"-";"-";"-";"ramper";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Il rampe dans sa tête que Adam pourrait manger la pomme"
"112";"-";"+";"-";"+";"<E>";"-";"-";"-";"rayonner";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Il rayonne dans son esprit que Luc est brillant"
"113";"-";"-";"-";"+";"<E>";"-";"-";"-";"refluer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"Il reflue dans sa tête que sa femme l'a quitté"
"114";"-";"+";"-";"-";"<E>";"-";"-";"-";"rejaillir";"-";"+";"-";"-";"sur";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max ait fait cela a rejailli sur Ida"
"115";"-";"-";"-";"-";"<E>";"-";"-";"-";"remonter";"-";"+";"+";"-";"à";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Léa est partie remonte à la mémoire de Max"
"116";"-";"-";"-";"+";"<E>";"-";"-";"-";"rentrer";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Que tout soit en ordre rentre dans les obligations de Max"
"117";"-";"+";"-";"+";"<E>";"-";"-";"-";"reposer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Cette déclaration repose dans les dossiers secrets"
"118";"-";"+";"-";"-";"<E>";"-";"-";"-";"reposer";"-";"+";"-";"-";"sur";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"(Cette affaire+Faire ceci) repose sur(les épaules de+E)Paul"
"119";"~";"~";"~";"~";"<E>";"-";"-";"-";"reprendre";"-";"+";"-";"-";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"L'envie de faire ceci lui a repris "
"120";"-";"+";"+";"-";"<E>";"-";"-";"-";"répugner";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Que Léa s'en aille répugne à Max"
"121";"-";"-";"-";"-";"<E>";"-";"-";"-";"résider";"-";"+";"-";"-";"Loc";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Que cette solution soit limpide réside dans sa simplicité"
"122";"-";"-";"+";"-";"<E>";"-";"-";"-";"ressembler";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Qu'il ait dit cela ressemble à Max"
"123";"-";"+";"+";"+";"<E>";"-";"-";"-";"ressurgir";"-";"+";"+";"+";"Loc";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"Que Léa parte a soudain ressurgi dans la mémoire de Max"
"124";"-";"+";"-";"+";"<E>";"-";"-";"-";"rester";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Qu'il prouve son innocence reste à Max"
"125";"~";"~";"~";"~";"<E>";"-";"-";"-";"resurgir";"-";"+";"-";"~";"de+dans";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Qu'il faille faire ça a resurgi dans sa mémoire"
"126";"-";"+";"-";"+";"<E>";"-";"-";"-";"retentir";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"Que Max ait réussi a retenti dans la presse"
"127";"-";"+";"+";"-";"<E>";"-";"-";"-";"retentir";"-";"+";"-";"-";"sur";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que son livre ne se vende pas retentit sur le moral de Marie"
"128";"-";"-";"+";"-";"<E>";"-";"-";"-";"retomber";"-";"-";"+";"-";"sur";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"(Faire ceci+la corvée) retombe sur Max"
"129";"~";"~";"~";"~";"se";"+";"-";"-";"retourner";"-";"-";"+";"-";"contre";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Paul ait menti s'est retourné contre lui"
"130";"-";"+";"+";"-";"<E>";"-";"-";"-";"réussir";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Que Léa s'en aille réussit à Max"
"131";"-";"-";"+";"-";"<E>";"-";"-";"-";"revenir";"-";"-";"+";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"recevoir cette récompense revient à Max"
"132";"-";"-";"-";"+";"<E>";"-";"-";"-";"revenir";"-";"-";"+";"-";"Loc";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Qu'il n'a pas fermé le gaz revient (E+à l'esprit de)Max"
"133";"~";"~";"~";"~";"<E>";"-";"-";"-";"revenir";"-";"-";"+";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce ragot lui est revenu"
"134";"-";"+";"+";"-";"<E>";"-";"-";"-";"revenir Advp";"-";"-";"+";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Ceci est revenu cher à Max"
"135";"-";"+";"-";"+";"<E>";"-";"-";"-";"rouler";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Des idées bizarres roulent dans la tête de Max"
"136";"-";"-";"-";"-";"<E>";"-";"-";"-";"sauter";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max est idiot saute (à la figure+aux yeux)"
"137";"-";"+";"+";"-";"<E>";"-";"-";"-";"seoir";"-";"+";"-";"+";"à";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Il sied à Max que tout le monde travaille"
"138";"-";"+";"-";"-";"se";"+";"-";"-";"solder";"-";"-";"+";"-";"par";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Léa soit venue s'est soldé par une catastrophe"
"139";"-";"+";"-";"+";"<E>";"-";"-";"-";"sommeiller";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il sommeille dans la mémoire de Max que Léa est partie"
"140";"-";"-";"+";"+";"<E>";"-";"-";"-";"sonner Advm";"-";"+";"-";"+";"Loc";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"Que Léa vienne sonne bien aux oreilles de Max"
"141";"-";"+";"-";"+";"<E>";"-";"-";"-";"sortir";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Il est sorti de la tête de Max qu'Ida devait venir"
"142";"-";"+";"+";"-";"<E>";"-";"-";"-";"sourire";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Que Paul parte sourit à Marie"
"143";"~";"~";"~";"~";"<E>";"-";"-";"-";"taquiner";"-";"+";"-";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Apprendre la peinture taquine Max"
"144";"-";"-";"+";"-";"<E>";"-";"-";"-";"tarder";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Que Léa vienne tarde à Max"
"145";"-";"+";"-";"-";"<E>";"-";"-";"-";"tenir";"-";"+";"-";"-";"de";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Marie fasse ça tient de l'inconscience"
"146";"-";"+";"-";"-";"ne";"-";"-";"-";"tenir que";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Paul parte ne tient qu' à moi"
"147";"~";"~";"~";"~";"<E>";"-";"-";"-";"tilter";"-";"+";"-";"-";"Loc";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que max dise ça a tilté dans la tête de Luc"
"148";"-";"+";"-";"+";"<E>";"-";"-";"-";"tinter";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"Que Léa revienne tinte aux oreilles de Max"
"149";"-";"-";"+";"-";"<E>";"-";"-";"-";"tomber";"-";"-";"+";"-";"sur";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"Faire la vaisselle tombe sur Max"
"150";"-";"-";"+";"-";"<E>";"-";"-";"-";"tomber Advm";"-";"-";"+";"+";"pour";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Que Léa revienne tombe bien "
"151";"-";"-";"-";"-";"<E>";"-";"-";"-";"traîner";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Clovis a cassé le vase traîne dans les livres"
"152";"-";"+";"-";"+";"<E>";"-";"-";"-";"trancher";"-";"+";"-";"+";"sur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Que Luc travaille tranche sur l'apathie générale"
"153";"+";"+";"+";"+";"<E>";"-";"-";"-";"transcender";"-";"+";"-";"-";"<E>";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"La vie transcende les concepts"
"154";"-";"+";"-";"+";"<E>";"-";"-";"-";"transparaître";"-";"+";"+";"+";"Loc";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max est furieux transparaît dans son attitude"
"155";"-";"+";"-";"-";"<E>";"-";"-";"-";"transpirer";"-";"+";"-";"+";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max a été choisi a transpiré de la réunion"
"156";"-";"+";"-";"+";"<E>";"-";"-";"-";"traverser";"-";"+";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"Que Léa puisse revenir traverse l'esprit de Max"
"157";"-";"-";"-";"+";"<E>";"-";"-";"-";"trotter";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"Que Léa est partie trotte dans la tête de Max"
"158";"-";"-";"-";"+";"<E>";"-";"-";"-";"trottiner";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"Que Léa est partie trottine dans la tête de Max"
"159";"-";"+";"+";"-";"<E>";"-";"-";"-";"urger";"-";"+";"-";"+";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Que Léa revienne urge "
"160";"-";"+";"+";"-";"<E>";"-";"-";"-";"valoir";"-";"+";"-";"+";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"Que l'on doive travailler vaut pour tout le monde"
"161";"-";"-";"-";"+";"<E>";"-";"-";"-";"venir";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Que Léa boit est venu aux oreilles de Max"

